FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
N_W_Pasco,Hillsborough_Manatee_Spur,14250.2276302814,335.869438171387
Pasco_West,Hillsborough_Manatee_Spur,67871.6856506264,2949.10654592514
Hudson,Hillsborough_Manatee_Spur,17235.5851927232,409.596566200256
New_Port_Richey,Hillsborough_Manatee_Spur,26412.2169991047,647.269159317017
E_New_Port_Richey,Hillsborough_Manatee_Spur,533.689006807574,8.19086647033691
Seven_Springs_Odessa,Hillsborough_Manatee_Spur,6326.20916232327,358.435336053371
Pasco_Central,Hillsborough_Manatee_Spur,12406.4574587801,458.920223236084
Land_O_Lakes_Connerton,Hillsborough_Manatee_Spur,3504.96728718467,204.821995735168
I-75_SR_52,Hillsborough_Manatee_Spur,987.594727754593,122.864295005798
Pasco_East,Hillsborough_Manatee_Spur,24246.39298651,1137.1661375165
San_Antonio,Hillsborough_Manatee_Spur,4737.17178057134,294.906355857849
Suncoast_SR_54,Hillsborough_Manatee_Spur,2254.99651837349,65.5271272659302
Wesley_Chapel_I-75_-_SR56,Hillsborough_Manatee_Spur,9780.80512315035,434.097545623779
Zephyrhills,Hillsborough_Manatee_Spur,2188.87532078614,184.680057585239
Lacoochie_Ind_Area,Hillsborough_Manatee_Spur,6.047398686409,0
Dade_City,Hillsborough_Manatee_Spur,347.165535705164,30.875089764595
External,Hillsborough_Manatee_Spur,1292.94493815303,29.3253761529923
N_W_Pasco,Pinellas,18313.4288170105,934.550102233887
Pasco_West,Pinellas,97920.2831239423,3139.86585479975
Hudson,Pinellas,16848.5739096273,622.734375953674
New_Port_Richey,Pinellas,53371.7094069596,1477.411279127
E_New_Port_Richey,Pinellas,1888.66949951649,24.5762157440186
Seven_Springs_Odessa,Pinellas,18096.1491348904,458.77876663208
Pasco_Central,Pinellas,33462.8257091075,1164.00515043736
Land_O_Lakes_Connerton,Pinellas,17985.3851550804,694.614524662495
I-75_SR_52,Pinellas,4675.05790726095,163.820339202881
Pasco_East,Pinellas,61330.7362851461,1650.7224072814
San_Antonio,Pinellas,9121.1769097806,219.33597111702
Suncoast_SR_54,Pinellas,3959.0712764198,122.950156211853
Wesley_Chapel_I-75_-_SR56,Pinellas,35374.1813882305,1074.71400141716
Zephyrhills,Pinellas,5567.86077463254,267.394553720951
Lacoochie_Ind_Area,Pinellas,30.3451063036919,0
Dade_City,Pinellas,794.791424028576,50.1128681264818
External,Pinellas,2834.21946890652,98.3050231933594
Hillsborough_Manatee_Spur,N_W_Pasco,15114.4063396112,352.196743011475
Pinellas,N_W_Pasco,19267.7289115796,901.447107315063
N_W_Pasco,N_W_Pasco,5445.20351743698,425.978694915772
Pasco_West,N_W_Pasco,3384.67197704315,90.1140375137329
Hudson,N_W_Pasco,363.450419902802,8.18703460693359
New_Port_Richey,N_W_Pasco,648.039227485657,0
E_New_Port_Richey,N_W_Pasco,8.18636322021484,0
Seven_Springs_Odessa,N_W_Pasco,27.7059168815613,0
Pasco_Central,N_W_Pasco,1299.33588221669,57.3591957092285
Land_O_Lakes_Connerton,N_W_Pasco,24.6946926116943,0
I-75_SR_52,N_W_Pasco,24.4008884429932,0
Pasco_East,N_W_Pasco,75.6481213271618,8.19081211090088
San_Antonio,N_W_Pasco,53.5057716369629,0
Suncoast_SR_54,N_W_Pasco,155.724739074707,0
Wesley_Chapel_I-75_-_SR56,N_W_Pasco,29.382851600647,0
Zephyrhills,N_W_Pasco,41.3163022994995,0
Lacoochie_Ind_Area,N_W_Pasco,0,0
Dade_City,N_W_Pasco,0,0
External,N_W_Pasco,13.7459750175476,8.20172500610352
Hernando,N_W_Pasco,79.9431256894022,64.3529958468862
Hillsborough_Manatee_Spur,Pasco_West,71439.7359645874,2780.99683648348
Pinellas,Pasco_West,96051.362969304,2983.06454658508
N_W_Pasco,Pasco_West,3254.15270864381,65.5330181121826
Pasco_West,Pasco_West,258735.251308127,9331.46489715576
Hudson,Pasco_West,4787.5289850235,65.5257587432861
New_Port_Richey,Pasco_West,60805.2421937734,1752.20508772135
E_New_Port_Richey,Pasco_West,2276.63238191605,40.9619731903076
Seven_Springs_Odessa,Pasco_West,24484.8469571061,597.992877006531
Pasco_Central,Pasco_West,2196.24171686172,81.9591608047485
Land_O_Lakes_Connerton,Pasco_West,219.379442214966,8.19086647033691
I-75_SR_52,Pasco_West,55.0747809410095,8.20829296112061
Pasco_East,Pasco_West,3764.63993291627,82.2644882202149
San_Antonio,Pasco_West,280.511425018311,8.18929100036621
Suncoast_SR_54,Pasco_West,418.793564319611,0
Wesley_Chapel_I-75_-_SR56,Pasco_West,1101.07452988625,57.344934463501
Zephyrhills,Pasco_West,322.812327027321,49.158447265625
Lacoochie_Ind_Area,Pasco_West,0,0
Dade_City,Pasco_West,41.7028712630272,8.18779468536377
External,Pasco_West,102.188580513001,8.20172500610352
Hernando,Pasco_West,2104.90051234025,1400.17973926244
Hillsborough_Manatee_Spur,Hudson,17830.0406937588,491.498339653015
Pinellas,Hudson,17364.6902485085,679.941024780274
N_W_Pasco,Hudson,529.468976974487,0
Pasco_West,Hudson,4696.4874329567,81.9061908721924
Hudson,Hudson,16961.6096334457,524.443398475647
New_Port_Richey,Hudson,821.165001869202,16.3851537704468
E_New_Port_Richey,Hudson,0,0
Seven_Springs_Odessa,Hudson,142.976938247681,16.3779010772705
Pasco_Central,Hudson,225.89317035675,0
Land_O_Lakes_Connerton,Hudson,0,0
I-75_SR_52,Hudson,0,0
Pasco_East,Hudson,80.8113269805908,8.30948352813721
San_Antonio,Hudson,8.19229602813721,0
Suncoast_SR_54,Hudson,0,0
Wesley_Chapel_I-75_-_SR56,Hudson,68.1183614730835,8.18703460693359
Zephyrhills,Hudson,34.2984819412231,0
Lacoochie_Ind_Area,Hudson,0,0
